level	char_map	pos_map
2	['.{1,7}', '再', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v', 'v']
2	['已经', '不', '.{1,7}', '了']	['.{1,3}', '.{1,3}', 'v', '.{1,3}']
2	['.{1,7}', '多', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '有一点[儿]？', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '有点[儿]？', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
2	['更', '.{1,7}']	['.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '还', '(好|可以|行|不错)']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}']
2	['最', '.{1,7}']	['.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '着']	['v', '.{1,3}']
2	['.{1,7}', '是', '.{1,7}', '着', '玩', '的']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v', '.{1,3}', '.{1,3}', '.{1,3}']
2	['.{1,7}', '对', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(r|nr)', 'v']
2	['对', '.{1,7}', '来说', '.{1,7}', '.{1,7}']	['.{1,3}', '(r|nr)', '.{1,3}', '.{1,7}', '.{1,7}']
2	['.{1,7}', '要', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'n']
2	['不要', '.{1,7}']	['.{1,3}', 'v']
2	['.{1,7}', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', 'v']
2	['.{1,7}', '一', '.{1,7}']	['v', '.{1,3}', 'v']
2	['.{1,7}', '到', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(s|ns)']
2	['到', '.{1,7}', '(来|去)']	['.{1,3}', '(s|ns)', '.{1,3}']
2	['.{1,7}', '.{1,7}', '不懂']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}']
2	['.{1,7}', '不', '.{1,7}']	['v', '.{1,3}', 'v']
2	['.{1,7}', '不', '.{1,7}']	['(Ag|a|ad|an)', '.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '怎么[', '不]？', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '怎么', '(这么|那么)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '(Ag|a|ad|an)']
2	['.{1,7}', '.{1,7}', '(好|对|是|可以)', '吗']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,3}']
2	['快[要]？', '.{1,7}', '了']	['.{1,3}', 'v', '.{1,3}']
2	['快要', '.{1,7}', '了']	['.{1,3}', 'v', '.{1,3}']
2	['什么', '.{1,7}', '都', '.{1,7}']	['.{1,3}', 'n', '.{1,3}', 'v']
2	['什么', '.{1,7}', '(都|也)', '(不|没[有]？)', '.{1,7}']	['.{1,3}', 'n', '.{1,3}', '.{1,3}', 'v']
2	['.{1,7}', '是', '(来|去)', '.{1,7}', '的']	['(r|nr)', '.{1,3}', '.{1,3}', 'v', '.{1,3}']
2	['.{1,7}', '.{1,7}', '多了']	['(n|nr|ns|nz|r|s|d|vn|an)', '(Ag|a|ad|an)', '.{1,3}']
2	['虽然', '.{1,7}', '(但是|可是)', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
3	['.{1,7}', '.{1,7}', '极了']	['(n|nr|ns|nz|r|s|d|vn|an)', '(Ag|a|ad|an)', '.{1,3}']
3	['.{1,7}', '.{1,7}', '地', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '(Ag|a|ad|an)', '.{1,3}', 'v']
3	['只', '.{1,7}']	['.{1,3}', 'v']
3	['只', '(会|能)', '.{1,7}']	['.{1,3}', '.{1,3}', 'v']
3	['先', '.{1,7}', '再', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
3	['.{1,7}', '(那么|这么)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
3	['.{1,7}', '多', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
3	['.{1,7}', '的', '.{1,7}']	['(Ag|a|ad|an)', '.{1,3}', 'n']
3	['.{1,7}', '的']	['(Ag|a|ad|an)', '.{1,3}']
3	['刚才', '.{1,7}']	['.{1,3}', 'v']
3	['.{1,7}', '着']	['v', '.{1,3}']
3	['.{1,7}', '是', '.{1,7}', '着', '玩', '的']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v', '.{1,3}', '.{1,3}', '.{1,3}']
3	['关于', '的', '.{1,7}']	['.{1,3}', '.{1,3}', 'n']
3	['.{1,7}', '看起来', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
3	['.{1,7}', '.{1,7}', '了', '.{1,7}', '了']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}', 't', '.{1,3}']
3	['.{1,7}', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', 'v']
3	['.{1,7}', '一', '.{1,7}']	['v', '.{1,3}', 'v']
3	['.{1,7}', '(来|去)']	['v', '.{1,3}']
3	['.{1,7}', '.{1,7}', '才', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}']
3	['.{1,7}', '越', '.{1,7}', '越', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
3	['越', '越', '不', '.{1,7}']	['.{1,3}', '.{1,3}', '.{1,3}', '.{1,7}']
3	['.{1,7}', '越', '.{1,7}', '越', '想', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v', '.{1,3}', '.{1,3}', 'v']
3	['想', '.{1,7}', '就', '.{1,7}']	['.{1,3}', 'v', '.{1,3}', 'v']
3	['为了', '.{1,7}', '.{1,7}', '.{1,7}']	['.{1,3}', '.{1,7}', '(n|nr|ns|nz|r|s|d|vn|an)', '.{1,7}']
3	['.{1,7}', '是', '(为了|因为)', '.{1,7}']	['.{1,7}', '.{1,3}', '.{1,3}', '.{1,7}']
3	['.{1,7}', '.{1,7}', '多了']	['(n|nr|ns|nz|r|s|d|vn|an)', '(Ag|a|ad|an)', '.{1,3}']
3	['如果', '.{1,7}', '(就|那么|那)', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
3	['.{1,7}', '不但', '.{1,7}', '而且', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
3	['刚[ā]？刚才[āá]？']	['.{1,3}']
3	['一点[īǎ]？有点[ǒǎ]？']	['.{1,3}']
3	['.{1,7}', '再', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
3	['.{1,7}', '又', '.{1,7}', '了']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v', '.{1,3}']
4	['.{1,7}', '死了']	['(Ag|a|ad|an)', '.{1,3}']
4	['.{1,7}', '差不多']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
4	['.{1,7}', '.{1,7}', '甚至', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}']
4	['到底', '.{1,7}', '了']	['.{1,3}', 'v', '.{1,3}']
4	['究竟', '.{1,7}', '(没|不)', '.{1,7}']	['.{1,3}', 'v', '.{1,3}', 'v']
4	['.{1,7}', '本来', '就...']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}']
4	['.{1,7}', '竟然', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}']
4	['.{1,7}', '.{1,7}', '不过', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}']
4	['.{1,7}', '.{1,7}', '还有', '.{1,7}', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}', '.{1,7}']
4	['.{1,7}', '.{1,7}', '再说', '.{1,7}', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}', '.{1,7}']
4	['在', '下', '.{1,7}', '.{1,7}']	['.{1,3}', '.{1,3}', '.{1,7}', '.{1,7}']
4	['.{1,7}', '好像', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}']
4	['.{1,7}', '以为', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}']
4	['.{1,7}', '来自', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(s|ns)']
4	['少', '.{1,7}']	['.{1,3}', 'v']
4	['多', '.{1,7}']	['.{1,3}', 'v']
4	['.{1,7}', '从来', '没[有]？', '.{1,7}', '过']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', 'v', '.{1,3}']
4	['尽管', '.{1,7}', '但是', '.{1,7}', '还是', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}']
4	['.{1,7}', '倒', '.{1,7}', '(不过|但是|就是)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
4	['.{1,7}', '(来|去)']	['v', '.{1,3}']
4	['.{1,7}', '起来']	['v', '.{1,3}']
4	['除非', '才']	['.{1,3}', '.{1,3}']
4	['即使', '.{1,7}', '也', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
4	['要是', '.{1,7}', '.{1,7}', '就', '.{1,7}']	['.{1,3}', '(n|nr|ns|nz|r|s|d|vn|an)', '.{1,7}', '.{1,3}', '.{1,7}']
4	['要不是', '.{1,7}', '.{1,7}', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,7}', '.{1,7}']
4	['所有[', '的]？', '.{1,7}']	['.{1,3}', '.{1,3}', 'n']
4	['.{1,7}', '是', '.{1,7}', '(但是|就是)', '.{1,7}']	['(Ag|a|ad|an)', '.{1,3}', '(Ag|a|ad|an)', '.{1,3}', '.{1,7}']
4	['.{1,7}', '(不仅|不但|不只)', '.{1,7}', '.{1,7}', '(而且|还|也)', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}', '.{1,7}']
4	['.{1,7}', '本来', '就', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '.{1,7}', '.{1,7}']
4	['原来的', '.{1,7}']	['.{1,3}', 'n']
4	['刚[ā]？刚才[āá]？']	['.{1,3}']
4	['从', '.{1,7}', '(上|里)']	['.{1,3}', '(s|ns)', '.{1,3}']
4	['相反', '的', '.{1,7}']	['.{1,3}', '.{1,3}', 'n']
4	['.{1,7}', '(相反|和|跟)', '是', '相反的']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '.{1,3}']
4	['.{1,7}', '.{1,7}', '(以后|的时候)', '.{1,7}', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}', '.{1,7}', '.{1,7}']
5	['.{1,7}', '得不得了']	['(Ag|a|ad|an)', '.{1,3}']
5	['.{1,7}', '得很']	['(Ag|a|ad|an)', '.{1,3}']
5	['.{1,7}', '了[一]？点儿']	['(Ag|a|ad|an)', '.{1,3}']
5	['.{1,7}', '.{1,7}', '了', '又', '.{1,7}', '(还是|就是)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}', '.{1,3}', 'v', '.{1,3}', '.{1,7}']
5	['都', '小句', '主句']	['.{1,3}', '.{1,3}', '.{1,3}']
5	['.{1,7}', '进一步', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
5	['互相', '.{1,7}']	['.{1,3}', 'v']
5	['尽管', '.{1,7}']	['.{1,3}', 'v']
5	['.{1,7}', '不得不', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
5	['.{1,7}', '干脆', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
5	['曾经', '(是|在|有)', '.{1,7}']	['.{1,3}', '.{1,3}', '.{1,7}']
5	['再三', '.{1,7}']	['.{1,3}', 'v']
5	['白', '.{1,7}', '了']	['.{1,3}', 'v', '.{1,3}']
5	['(顺便说一下|顺便问一下)']	['.{1,3}']
5	['.{1,7}', '差很多']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
5	['彼此', '.{1,7}']	['.{1,3}', 'v']
5	['.{1,7}', '(彼此|对方)']	['v', '.{1,3}']
5	['彼此', '的', '.{1,7}']	['.{1,3}', '.{1,3}', 'n']
5	['.{1,7}', '(彼此|彼此)', '.{1,7}']	['v', '.{1,3}', 'v']
5	['.{1,7}', '有', '.{1,7}', '到']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)', '.{1,3}']
5	['.{1,7}', '有', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
5	['.{1,7}', '有', '在', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', 'v']
5	['(级别|次序|数目)', '(以上|以下)']	['.{1,3}', '.{1,3}']
5	['(时间|处所|数量|范围)', '(以内|以外)']	['.{1,3}', '.{1,3}']
5	['.{1,7}', '算', '.{1,7}', '的']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)', '.{1,3}']
5	['.{1,7}', '不', '算', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '(Ag|a|ad|an)']
5	['之所以', '.{1,7}', '是', '(因为|为了|想)', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,3}', '.{1,7}']
5	['.{1,7}', '得', '(很|不得了|要命|不行)']	['(Ag|a|ad|an)', '.{1,3}', '.{1,3}']
5	['.{1,7}', '坏了']	['(Ag|a|ad|an)', '.{1,3}']
5	['.{1,7}', '来', '.{1,7}', '去']	['v', '.{1,3}', 'v', '.{1,3}']
5	['哪怕', '.{1,7}', '也', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
5	['万一', '(怎么办|呢,)', '.{1,7}']	['.{1,3}', '.{1,3}', '.{1,7}']
5	['要', '.{1,7}', '就', '.{1,7}']	['.{1,3}', 'v', '.{1,3}', 'v']
5	['以', '.{1,7}', '名义']	['.{1,3}', '(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
5	['一面', '.{1,7}', '一面', '.{1,7}']	['.{1,3}', 'v', '.{1,3}', 'v']
5	['宁可', '.{1,7}', '(也要|也不)', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
5	['或者', '或者']	['.{1,3}', '.{1,3}']
5	['.{1,7}', '连', '都', '.{1,7}', '何况', '呢']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', 'v', '.{1,3}', '.{1,3}']
5	['.{1,7}', '连', '都', '(不|没)', '.{1,7}', '何况', '呢']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '.{1,3}', 'v', '.{1,3}', '.{1,3}']
5	['.{1,7}', '不断', '地', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', 'v']
5	['.{1,7}', '不停', '地', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', 'v']
5	['.{1,7}', '.{1,7}', '个', '不停']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}', '.{1,3}']
5	['(常常|经常)', '.{1,7}']	['.{1,3}', 'v']
5	['(突然|忽然)', '.{1,7}']	['.{1,3}', 'v']
5	['(突然|忽然)', '.{1,7}']	['.{1,3}', '(Ag|a|ad|an)']
5	['(突然|忽然)', '.{1,7}', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,7}']
5	['.{1,7}', '.{1,7}', '得', '突然']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}', '.{1,3}']
5	['.{1,7}', '(总算|终于)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
5	['(向|朝|往)', '具体方向', '.{1,7}']	['.{1,3}', '.{1,3}', 'v']
5	['.{1,7}', '(向|往)', '具体方向']	['v', '.{1,3}', '.{1,3}']
5	['(向|朝)', '动作的对象', '具体意义的动词']	['.{1,3}', '.{1,3}', '.{1,3}']
5	['(对|对于)', '动作对象', '.{1,7}']	['.{1,3}', '.{1,3}', 'v']
5	['.{1,7}', '(对着|对上|对不上)']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
5	['.{1,7}', '平常', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
5	['.{1,7}', '很', '(平常|平常)', '的', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', '.{1,3}', 'n']
5	['以后', '.{1,7}', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,7}']
5	['然后']	['.{1,3}']
5	['然后先']	['.{1,3}']
5	['以后']	['.{1,3}']
5	['以后']	['.{1,3}']
6	['.{1,7}', '.{1,7}', '得', '倒', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}', '.{1,3}', '(Ag|a|ad|an)']
6	['.{1,7}', '倒', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
6	['你', '倒是', '.{1,7}', '(呀|啊)']	['.{1,3}', '.{1,3}', 'v', '.{1,3}']
6	['.{1,7}', '很是', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
6	['.{1,7}', '很是', '(会|能)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}', 'v']
6	['.{1,7}', '一再', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
6	['.{1,7}', '似乎', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}']
6	['.{1,7}', '.{1,7}', '到时候', '.{1,7}', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}', '.{1,7}']
6	['何必', '呢', '.{1,7}']	['.{1,3}', '.{1,3}', '.{1,7}']
6	['本', '.{1,7}']	['.{1,3}', 'n']
6	['.{1,7}', '之', '.{1,7}']	['n', '.{1,3}', 'n']
6	['与其', '.{1,7}', '不如', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
6	['与其', '.{1,7}', '.{1,7}', '(宁可|宁愿)', '.{1,7}']	['.{1,3}', '.{1,7}', '(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,7}']
6	['(不得不|只好)', '.{1,7}']	['.{1,3}', 'v']
6	['.{1,7}', '却']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
6	['却', '.{1,7}']	['.{1,3}', 'v']
6	['反而却']	['.{1,3}']
6	['不但没', '.{1,7}', '反而', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
6	['不但不', '.{1,7}', '反而', '.{1,7}']	['.{1,3}', '.{1,7}', '.{1,3}', '.{1,7}']
6	['.{1,7}', '.{1,7}', '(反而却|却反而)', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}']
6	['.{1,7}', '.{1,7}', '却偏[偏]？', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}']
6	['虽然', '却', '.{1,7}']	['.{1,3}', '.{1,3}', '.{1,7}']
6	['.{1,7}', '.{1,7}', '但[是]？却', '.{1,7}']	['.{1,7}', '.{1,7}', '.{1,3}', '.{1,7}']
